WorkItemID,ProjectID,WorkItemCode,WorkItemName,WorkItemCategory,WorkItemType,PlannedStartDate,PlannedFinishDate,Quantity,UnitOfMeasure,Priority,CurrentStatusID
WIT-000001,PRJ-002,PRJ-002-ITEM-000001,Mechanical Reporting Package,Mechanical,Inspection,2025-11-10,2026-02-21,348.99,m3,Medium,STS-004
WIT-000002,PRJ-003,PRJ-003-ITEM-000002,Electrical Reporting Package,Electrical,Milestone,2025-11-06,2025-12-04,487.84,ea,High,STS-004
WIT-000003,PRJ-004,PRJ-004-ITEM-000003,Interior Reporting Package,Interior,Package,2025-11-21,2025-12-06,380.81,lot,Critical,STS-003
WIT-000004,PRJ-005,PRJ-005-ITEM-000004,Exterior Reporting Package,Exterior,Task,2025-03-07,2025-06-02,64.93,hr,Low,STS-004
WIT-000005,PRJ-001,PRJ-001-ITEM-000005,Safety Reporting Package,Safety,Inspection,2026-01-16,2026-04-21,225.74,m2,Medium,STS-004
WIT-000006,PRJ-002,PRJ-002-ITEM-000006,Structure Reporting Package,Structure,Milestone,2025-11-15,2026-01-16,463.46,m3,High,STS-006
WIT-000007,PRJ-003,PRJ-003-ITEM-000007,Mechanical Reporting Package,Mechanical,Package,2026-02-25,2026-04-13,322.29,ea,Critical,STS-004
WIT-000008,PRJ-004,PRJ-004-ITEM-000008,Electrical Reporting Package,Electrical,Task,2026-01-26,2026-03-18,222.26,lot,Low,STS-004
WIT-000009,PRJ-005,PRJ-005-ITEM-000009,Interior Reporting Package,Interior,Inspection,2025-09-15,2025-12-23,114.39,hr,Medium,STS-004
WIT-000010,PRJ-001,PRJ-001-ITEM-000010,Exterior Reporting Package,Exterior,Milestone,2026-05-27,2026-06-11,32.84,m2,High,STS-004
WIT-000011,PRJ-002,PRJ-002-ITEM-000011,Safety Reporting Package,Safety,Package,2026-04-25,2026-07-02,413.99,m3,Critical,STS-005
WIT-000012,PRJ-003,PRJ-003-ITEM-000012,Structure Reporting Package,Structure,Task,2025-11-01,2025-12-07,379.29,ea,Low,STS-004
WIT-000013,PRJ-004,PRJ-004-ITEM-000013,Mechanical Reporting Package,Mechanical,Inspection,2026-05-23,2026-08-08,177.91,lot,Medium,STS-004
WIT-000014,PRJ-005,PRJ-005-ITEM-000014,Electrical Reporting Package,Electrical,Milestone,2025-05-24,2025-06-05,446.67,hr,High,STS-002
WIT-000015,PRJ-001,PRJ-001-ITEM-000015,Interior Reporting Package,Interior,Package,2026-04-19,2026-08-13,389.41,m2,Critical,STS-003
WIT-000016,PRJ-002,PRJ-002-ITEM-000016,Exterior Reporting Package,Exterior,Task,2026-05-30,2026-08-30,233.89,m3,Low,STS-002
WIT-000017,PRJ-003,PRJ-003-ITEM-000017,Safety Reporting Package,Safety,Inspection,2026-02-09,2026-03-08,22.86,ea,Medium,STS-004
WIT-000018,PRJ-004,PRJ-004-ITEM-000018,Structure Reporting Package,Structure,Milestone,2026-01-28,2026-04-05,341.84,lot,High,STS-002
WIT-000019,PRJ-005,PRJ-005-ITEM-000019,Mechanical Reporting Package,Mechanical,Package,2026-02-13,2026-03-07,372.64,hr,Critical,STS-004
WIT-000020,PRJ-001,PRJ-001-ITEM-000020,Electrical Reporting Package,Electrical,Task,2026-02-15,2026-04-03,163.59,m2,Low,STS-003
WIT-000021,PRJ-002,PRJ-002-ITEM-000021,Interior Reporting Package,Interior,Inspection,2025-12-31,2026-04-26,185.86,m3,Medium,STS-006
WIT-000022,PRJ-003,PRJ-003-ITEM-000022,Exterior Reporting Package,Exterior,Milestone,2025-09-15,2025-09-28,95.55,ea,High,STS-003
WIT-000023,PRJ-004,PRJ-004-ITEM-000023,Safety Reporting Package,Safety,Package,2025-12-02,2026-01-29,65.83,lot,Critical,STS-005
WIT-000024,PRJ-005,PRJ-005-ITEM-000024,Structure Reporting Package,Structure,Task,2026-01-11,2026-04-04,114.23,hr,Low,STS-003
WIT-000025,PRJ-001,PRJ-001-ITEM-000025,Mechanical Reporting Package,Mechanical,Inspection,2026-01-25,2026-03-25,335.24,m2,Medium,STS-006
WIT-000026,PRJ-002,PRJ-002-ITEM-000026,Electrical Reporting Package,Electrical,Milestone,2026-04-01,2026-07-23,416.51,m3,High,STS-004
WIT-000027,PRJ-003,PRJ-003-ITEM-000027,Interior Reporting Package,Interior,Package,2026-01-16,2026-03-12,350.43,ea,Critical,STS-003
WIT-000028,PRJ-004,PRJ-004-ITEM-000028,Exterior Reporting Package,Exterior,Task,2026-04-25,2026-05-11,416.3,lot,Low,STS-007
WIT-000029,PRJ-005,PRJ-005-ITEM-000029,Safety Reporting Package,Safety,Inspection,2025-03-25,2025-05-04,402.58,hr,Medium,STS-004
WIT-000030,PRJ-001,PRJ-001-ITEM-000030,Structure Reporting Package,Structure,Milestone,2026-05-29,2026-09-07,144.88,m2,High,STS-004
WIT-000031,PRJ-002,PRJ-002-ITEM-000031,Mechanical Reporting Package,Mechanical,Package,2025-11-26,2026-01-14,341.57,m3,Critical,STS-004
WIT-000032,PRJ-003,PRJ-003-ITEM-000032,Electrical Reporting Package,Electrical,Task,2025-09-02,2025-11-19,100.75,ea,Low,STS-005
WIT-000033,PRJ-004,PRJ-004-ITEM-000033,Interior Reporting Package,Interior,Inspection,2026-03-31,2026-04-21,4.67,lot,Medium,STS-004
